,Sample ID,d15N,N%(N),C%(N),umols N (N),d15N (C),d13C,N%,C%,C:N (mass),umols N,umols C,_merge
70,WS23-139-11MC-3 7.5-10cm,5.29570261575183,0.12111248121732703,0.8416080766068282,3.102761724377089,4.6529666406430605,-23.25042952387976,0.13004661065183187,0.8029534743119957,6.1743514135997595,1.5966679156475092,11.500085521765728,both
71,WS23-139-05MC-3 50-52.5cm,3.7028178563792817,0.08446562156755015,0.6041593923371357,2.6033618878717935,4.374471967172422,-27.229858678074216,0.08170239825934578,0.5573996469097338,6.822316832614812,1.0942639549881257,8.708615299429013,both
72,WS23-139-09MC-3 1-2.5cm,5.027712559268378,0.11030355946604854,0.7988705894675355,3.514676087169074,4.6667108037119585,-24.894016884093677,0.12106672885720256,0.7578823898038697,6.260038550292271,1.5900269885599763,11.611187320891924,both
73,WS23-139-18MC-3 0-2.5cm,4.519262952606937,0.10150702963375284,0.8654991454029963,3.1251992978032086,5.012532281594355,-22.990005167549366,0.10833257035483554,0.6780869538996807,6.259308273390502,1.3380348304211807,9.76987231497092,both
74,WS23-139-09MC-3 5-7.5cm,5.027743847088218,0.10236521458284963,0.7238479475642469,3.0909764723146833,4.503110053289324,-24.77774596462151,0.10750248863583699,0.6556037457569922,6.0984983145631135,1.3428986820954913,9.553473067854389,both
75,WS23-139-09MC-3 7.5-10cm,5.081351483395735,0.10220964286868255,0.7033171249701855,3.1857162563502937,4.446327486164936,-24.88822293016219,0.10896433202435926,0.6350036479417489,5.827628510582639,1.4674796692616778,9.976060640603595,both
76,WS23-139-18MC-3 20-22.5cm,5.273519812272728,0.09935833807584965,0.8975687874266117,2.948907248773665,4.850925963290719,-23.04877588299995,0.10422903793550231,0.6730241036729742,6.457165076103324,1.3866702627265006,10.44504268806042,both
77,WS23-139-08MC-3 30-32.5cm,4.482218467624159,0.07509485122763924,1.0350829088742564,2.268657800292528,4.43484917602728,-23.37849756739149,0.07586824408063016,0.4940624853445815,6.512111771290091,0.9761605765863236,7.415462415338406,both
78,WS23-139-05MC-3 37.5-40cm,4.862019340902741,0.07368344540204681,0.5662599330956867,2.2913921122600827,4.3698763619214445,-27.490071677579788,0.07355119179488681,0.5500916856845056,7.4790315732551775,1.0181143914905353,8.88253793545347,both
79,WS23-139-05MC-3 42.5-45cm,4.4741112835620305,0.07024290474891527,0.5567571274630696,2.161135022339218,4.20362613298353,-27.37027787460865,0.06950246074122562,0.4845842290339663,6.972188090407186,0.981219965025483,7.980509130776703,both
80,WS23-139-18MC-3 2.5-5cm,5.431562117240003,0.1267815483700759,1.0182709313272946,3.777293797655488,5.245058781058901,-23.06644344932453,0.14086480449529193,0.9245734727997933,6.563552025024781,1.6622248022242445,12.726934764634624,both
81,WS23-139-18MC-3 17.5-20cm,5.223697333866092,0.10022370343130488,0.8836163977125154,2.932240813665778,5.065322908244832,-23.329921645312055,0.10798191434843972,0.6701828368276785,6.206435965425744,1.3337808906493571,9.656547869527873,both
82,WS23-139-16MC-3 30-32.5cm,5.881101066514144,0.10471228687792405,0.8420476705446618,3.1794865694410346,5.328318621396015,-23.77958644685831,0.10895559467213134,0.6600464455626249,6.0579399116569785,1.380415278679751,9.755057792453448,both
83,WS23-139-17MC-3 47.5-48.75cm,5.492350123365259,0.15324416499657134,1.4941172369221833,4.894187664958307,5.046373845903265,-26.160676499968964,0.16025719426635746,1.4495679800631904,9.045259944173976,1.9099317435156102,20.152736522160772,both
84,WS23-139-05MC-3 45-47.5cm,4.726211525591351,0.07792123599690656,0.5740356335580119,2.3039323911033955,4.351579826881069,-27.07296107509337,0.0761196299684829,0.5082314839531714,6.676746644244108,0.9595093970331249,7.473245634149049,both
85,WS23-139-05MC-3 52.5-55cm,4.707763230341742,0.08369321456337035,0.6079679801645765,2.583378346747288,4.560724982902454,-26.34658699815895,0.0816895600208887,0.551431678263434,6.750332332827209,1.1081442456795074,8.726027514901384,both
86,WS23-139-05MC-3 30-32.5cm,4.56311771690456,0.0782109580083326,0.6014799642035226,2.445920709619618,4.546355233974886,-27.27703813072614,0.0805195769211013,0.5580278635978009,6.930337750589467,1.0906063466486926,8.816933172049849,both
87,WS23-139-18MC-3 7.5-10cm,5.324328415430691,0.11206941674681994,0.9304411698220669,3.5600638060793877,5.093782930677754,-23.365668402552394,0.11726587944858144,0.7896888469199898,6.734174089115592,1.4373231134125914,11.291038200924284,both
88,WS23-139-16MC-3 32.5-35cm,5.868285390938831,0.10416251335214101,0.8480178922784082,3.0386309212719507,5.185211048117444,-23.632749801435686,0.1051798051137996,0.6630495651432666,6.303962670646501,1.4005205313332845,10.299075468565894,both
89,WS23-139-16MC-3 35-36cm,6.117619240194017,0.10711846296960557,0.8408355616078007,3.150628482218799,5.048849321770322,-23.71581009039758,0.10801997043200418,0.6478545036913119,5.997543797691741,1.4421938236478502,10.09002372318567,both
90,WS23-139-05MC-3 25-27.5cm,4.426296647470638,0.07280804192589924,0.542069945361994,2.108315098423845,4.4391583396672925,-26.367008458777512,0.06936586629143279,0.5006441284992047,7.217442169550732,0.8888337128221282,7.483399995685032,both
91,WS23-139-08MC-3 25-27.5cm,4.70557107663175,0.08129307804728654,0.9719988703474134,2.551767090139557,4.427425202238541,-25.16011161233438,0.09053154520929663,0.7182766624746889,7.933993182311546,1.2989111993233913,12.021714564865713,both
92,WS23-139-05MC-3 40-42.5cm,4.4807352267757175,0.06524233096005382,0.6013613478362321,2.073225249351603,4.100626099247236,-27.806403542688393,0.06281247928473851,0.5582836862846806,8.88810141936757,0.9719121527013288,10.076997294986933,both
93,WS23-139-18MC-3 5-7.5cm,5.496861975154438,0.12240196870589512,0.979374833936602,3.698706170709543,5.027831991296006,-22.820997763489974,0.12797166405014151,0.8455766082037705,6.607529990955333,1.4837770955249812,11.436758054672813,both
94,WS23-139-09MC-3 2.5-5cm,4.914001481793735,0.10569225250737864,0.7505094018381877,3.232477969618958,4.70940660974649,-24.84918978171432,0.11282592628355946,0.6911743876036285,6.126024490741041,1.4409666659469875,10.297404927053893,both
95,WS23-139-18MC-3 15-17.5cm,5.160350499499469,0.11662317087962411,0.9514299177049163,3.4918692163158256,4.944477719098482,-23.299617025692005,0.12288428667644936,0.7896313365780582,6.4258121028698625,1.6167923314111288,12.119295942667234,both
96,WS23-139-18MC-3 12.5-15cm,5.226387345397437,0.10940773809842642,0.8577538026638444,3.248574230661271,5.212483336673294,-23.271687991636433,0.1110444618204147,0.7231628446346674,6.512372006486857,1.447461785699082,10.996169749140963,both
97,WS23-139-05MC-3 35-37.5cm,4.659493206710103,0.07693763856994758,0.6260337799994258,2.283361937258994,4.025673207940125,-27.50914964680076,0.0752881997954979,0.5586492467394517,7.420143505315396,1.0005645910009817,8.660691361400376,both
98,WS23-139-05MC-3 47.5-50cm,4.706669188638347,0.08748157459496406,0.6518429521186748,2.6158302090879615,4.470950396651384,-27.245613942733755,0.085268406658021,0.5974288877174582,7.00645070235119,1.1926013051134343,9.747393051476763,both
99,WS23-139-05MC-3 32.5-35cm,4.710632702530119,0.08755448546216353,0.678349650976188,2.5458919548591132,4.594884018125881,-27.242416030665407,0.08729179082745063,0.6339133594068433,7.262004289268135,1.271494343622973,10.771248897098628,both
100,WS23-139-08MC-3 40-40.5cm,4.612543848506127,0.0635306534295873,0.9787569918198803,2.0862632207958764,4.641020617127773,-23.447983178367625,0.07292133574143797,0.4494623685979468,6.163660662931839,1.126298917993559,8.098181677011633,both
101,WS23-139-09MC-3 0-1cm,5.045637858308207,0.1091617831464548,0.8213044787644629,3.1587570940451664,4.881526964975312,-24.81750563995352,0.12554146745473213,0.7639794421042169,6.085474844235776,1.734103125042096,12.31018331690325,both
102,WS23-139-18MC-3 10-12.5cm,4.9986288088481805,0.08702365830083965,0.8045391739248224,2.6481032124777983,4.783918564064122,-23.086884868886333,0.09431086637355675,0.5824788709456872,6.176158626711596,1.1732648751068668,8.452976054714721,both
103,WS23-139-17MC-3 45-47.5cm,5.200450997590842,0.16281675359332737,,4.77828239881745,4.908497907609944,-26.87100670849821,0.17184842262636366,1.9565644697092333,11.38540837213988,2.2657987599958527,30.092971594062412,both
104,WS23-139-09MC-3 10-12.5cm,5.470329485195982,0.11159561753155493,0.8701926690356188,3.438992998791829,4.238493593146048,-24.326939173125734,0.1217900943528389,0.7295240408041395,5.990011295094579,1.6350820019147372,11.425160435874322,both
105,WS23-139-08MC-3 27.5-30cm,4.395481070760938,0.07483857746642662,1.0513563655156737,2.18992314190837,4.318887497712968,-23.69468622045979,0.07412936431046896,0.47095166537857724,6.353105409161952,1.0069106372792465,7.46228991852983,both
106,WS23-139-16MC-3 27.5-30cm,5.653448157355695,0.10171482437639279,0.8547124488360288,3.1757386494448063,4.966659206916481,-23.43674189343895,0.10776295715222313,0.6543588699448891,6.072205953113916,1.433993440534544,10.15754572221696,both
107,WS23-139-17MC-3 37.5-40cm,5.35513791887165,0.1320477042089514,1.8380792577385907,3.9715161400803605,4.526966602780505,-27.19122085852873,0.1406197709605482,1.7650354143892137,12.551829677523838,1.8327744594858033,26.83559256182102,both
108,WS23-139-08MC-3 7.5-10cm,4.73622622742115,0.11576415523982908,1.0427202165386487,3.572410769192556,4.751497558107616,-23.409359423256483,0.12633067620770563,0.7665897870951565,6.068120666391223,1.7362577947033346,12.290330017083463,both
109,WS23-139-04MC-3 17.5-20cm,4.376300061653447,0.036988033351744845,0.21571107667653333,1.2091733957957984,4.037934604518588,-26.448672511945855,0.0343289012480558,0.1826180739225531,5.319659741014741,0.8869892193278884,5.504239515339301,both
110,WS23-139-04MC-3 20-22.5cm,4.217353256585578,0.03310051785642475,0.19822051631437224,1.0040962943470346,4.019556127468026,-26.555333111584673,0.03202749622409242,0.1726904109801911,5.3919422789686,0.7900801548899773,4.969486506150195,both
111,WS23-139-04MC-3 20-22.5cm,3.639264063905395,0.03788007202476245,0.3556438159839935,2.0436582755115418,4.019556127468026,-26.555333111584673,0.03202749622409242,0.1726904109801911,5.3919422789686,0.7900801548899773,4.969486506150195,both
112,WS23-139-08MC-3 2.5-5cm,5.286979128469614,0.11805108797038275,1.0594396956894352,3.5802931676385175,4.750558088517997,-23.083284556080812,0.12935670093947507,0.7876801490934396,6.089210248659548,1.918467903012429,13.627325676822222,both
